text,sentiment
just 👍👍👍,positive
💚💚,positive
🎊,positive
🤣🤣🤣,positive
just ✨,positive
just 💚💚💚,positive
feeling 🔥,positive
feeling 😀😀😀,positive
feeling 😄😄,positive
🥰🥰,positive
feeling 💚,positive
just 😀😀,positive
💛,positive
feeling 🎉,positive
feeling 😁😁😁,positive
feeling ️️,positive
feeling 🤣,positive
😂😂,positive
feeling 👏👏👏,positive
feeling 🥰🥰🥰,positive
feeling 😊😊,positive
just 😀😀,positive
🎉🎉,positive
feeling 🙌,positive
❤❤,positive
💙,positive
🥰🥰,positive
😂,positive
just 💯💯💯,positive
feeling 💚💚💚,positive
😎😎😎,positive
just 😍😍,positive
💛💛,positive
feeling 😎😎😎,positive
feeling 💙💙,positive
feeling ✨,positive
just 🥰,positive
🎉,positive
feeling 💚💚💚,positive
🙂🙂,positive
just 🤣🤣,positive
👍,positive
feeling 😎,positive
feeling ❤❤❤,positive
feeling 💜💜💜,positive
feeling 😍😍,positive
feeling 💙,positive
😆😆😆,positive
just 😃😃😃,positive
just ️,positive
just 🤩,positive
just 🧡🧡🧡,positive
😄😄,positive
just 😁,positive
😇😇,positive
just 🎉,positive
feeling 🥰🥰🥰,positive
🤣🤣🤣,positive
feeling 👏,positive
feeling 😇😇,positive
just 🧡🧡,positive
just 😂😂,positive
🙂,positive
just 😀😀😀,positive
😎😎,positive
feeling 😍😍😍,positive
feeling 🤩🤩🤩,positive
just 😍😍😍,positive
feeling 😆😆,positive
😁,positive
just 🙂🙂,positive
just 🤩🤩🤩,positive
feeling 🙂,positive
just 😁,positive
🎊,positive
feeling 🤩,positive
💚💚💚,positive
just 😃😃,positive
feeling ️️,positive
😇😇😇,positive
feeling 💜💜,positive
just 💯💯,positive
just 🥰🥰🥰,positive
just 😇,positive
feeling 😍,positive
just 🙌🙌,positive
feeling 😊😊😊,positive
feeling 🧡,positive
😍😍😍,positive
just 🤩,positive
👏👏,positive
just 🔥🔥🔥,positive
just 😀😀,positive
feeling 🎉🎉🎉,positive
😄,positive
just 🤣,positive
just 💯💯💯,positive
feeling 🤣🤣,positive
feeling 😆😆,positive
just 😀,positive
just 😄😄😄,positive
😄,positive
just 🥳,positive
feeling 😎,positive
feeling 🎊🎊🎊,positive
🙌🙌,positive
just 🎉,positive
just 💪💪,positive
just 👍👍👍,positive
just 💯,positive
just 💯,positive
just 😇😇😇,positive
just 👍,positive
just 😇😇😇,positive
just 😍😍😍,positive
😇,positive
just 💚💚,positive
💪💪💪,positive
feeling 😍,positive
🎊🎊🎊,positive
just 😇😇😇,positive
just 👍,positive
feeling 😄😄😄,positive
feeling 😊,positive
💚,positive
🥳🥳🥳,positive
feeling 😇😇,positive
feeling 🎉,positive
feeling 😎,positive
just 😊😊😊,positive
🧡🧡,positive
🎉🎉,positive
just 😃,positive
feeling 😍,positive
feeling 🤣🤣🤣,positive
🤣🤣,positive
feeling 😁,positive
just 🧡🧡,positive
just 😀,positive
just 😊,positive
feeling 💚💚💚,positive
just 💯,positive
just 😁😁,positive
just 👍👍👍,positive
feeling 💯💯,positive
feeling ️️️,positive
feeling ️️️,positive
just 💯💯,positive
🤩,positive
feeling 💜,positive
🎊🎊🎊,positive
just 🙌🙌,positive
😇😇😇,positive
🤩🤩🤩,positive
😎😎,positive
feeling 😍😍😍,positive
feeling 💙💙💙,positive
🥳🥳,positive
just 😇😇,positive
💪,positive
feeling 💚,positive
😀😀😀,positive
just 😁😁,positive
just 👍,positive
💛💛,positive
just 😃😃,positive
🤣🤣,positive
feeling 🙌🙌,positive
just 🤣🤣🤣,positive
🎊🎊🎊,positive
just 🙌🙌,positive
just 🙌,positive
feeling 💪💪💪,positive
feeling 🥳,positive
❤❤❤,positive
just 💙💙💙,positive
🙂,positive
feeling 😃,positive
just ❤❤❤,positive
🔥,positive
🎊🎊🎊,positive
💛,positive
🤣🤣,positive
just 💙💙,positive
